text,category
"Jika anda bermasalah dgn CC/KT@, stres dgn bunga, pelunasan disc s/d 75%. Hub: ATY [PHONE](wa)/[PHONE]. LEGAL",uncategorized
"Lelah byr min payment? Kami Solusinya, bantu secara LEGAL penutupan CC/KTA, dscn 50-75%. Hub.LoLyta [PHONE]/[PHONE] (WA). LEGAL",uncategorized
"Dana Tunai (KTA) bunga 0,99% hingga 300 jt. Syarat KTP & CC. Bisa Dgn BPKB rate 0.99% 3 hari CAIR . hub AYU [PHONE] (WA).mhn maaf bila menggangu",uncategorized
"""ROXI CELL"" Hanya dengan Rp.100rb Anda bisa jadi agen pulsa elektrik ke semua Operator GSM/CDMA,v5=4300,v10=8300,Utk daftar ketik MTRONIK kirim ke [PHONE]",uncategorized
3 RAMADHAN Selamat Anda Pemenang Rp.100jt. PIN CODE 7Y7R8K9Z Info: www.hadiah-3ramadhan.blogspot.com,uncategorized
Anda brminat cash&kredit mtor scond brg istmwa tipe&merk apa sj.dsini mnyediakn 50 unit dr thn 2004 keatas hub [PHONE]/[PHONE] MS DEDIKTP luar yk bs.,uncategorized
ANDA MAU MENANG TOGEL 100% Tembus pasang shio 7 tunggal angka [ACCT]....ingat maharnya pulsa 100rb dikirim ke no 0823...xxx khusus putaran SGP SENIN,uncategorized
Anda mempunyai 3 pesan suara dari [PHONE]; untuk mendengarkan pesan suara anda silahkan tekan *886*10000*[PHONE]# tekan OK/YA. Bebas biaya. Terima kasih,uncategorized
Anda pmain togel sring kalah.mau bagi hasil. MBAH JOKO bisah mbntu anda SIO/ANGKA dari RETUWAL Berminat. Hub : MBAH JOKO.di. [PHONE] Dijamin 100% tembus,uncategorized
"ANEKA SHOP Berbagi Promo Type Blackberry DAKOTA 2,4 jt, TOURCH 1,7 jt, ONIX.2 1,5 jt, GEMINI 800 rb, U/Pemesanan [PHONE] Pin BB-2A96DE82 www.aneka999.blogspot.com",uncategorized
Anyonghaseyo! Ngaku KPOPers Sejati?? Ayo lengkapi koleksi Video Kpopmu di http://kpop.xl.co.id. Skrg Harga video lebih murah loh! Info*123*2200#,uncategorized
"Artha Cell diskon Brg elektronik BB Dakota 3 juta BB Onyx3 2,8 jt Camera DLL HUB Sms ke : [PHONE] Pin BB 28BDDF4D www.arthajaya-cell.blogspot.com",uncategorized
"Ass, mengenai rumah dan tanah yg kemarin, sy sdah survei, sy mrasa cocok, untuk nego harga hubungi atau sms suami saya, pak. haji. dermawan; [PHONE].",uncategorized
"Ass, Sy Randy. Mengenai mobil yg sdh sy liat kondisi'y , kebetulan kami berminat. Mohon hub Bapa sy utk dibicarakan hrg netnya; Dr.H.DARMAWAN 0812xxxxxxx",uncategorized
"Ass,maaf sy WAHYU.mengenai Mobil bpk yg mau di jual sy sudah lihat dan cocok, Untuk nego hrg silahkan Hub saudara sy di [PHONE] dgn pak JUSMAN SAFEI (TP)",uncategorized
Ass. Maaf sy by hj.suri yang kemarin survey rumah anda. Mengenai harga bisa hub suami saya H. SIGIT tlp [PHONE].terima kasih,uncategorized
"Ass.sy SUGIYONO yg tempo hari mngenai mobil TOYOTANYA,sy brminat,cocok,tlong hub sodara sy dlu,untuk negosiasi harganya. A/N;ABDULLAH HP;[PHONE]",uncategorized
"Assalamu alaikum,saya RESKI dr Costumer Servis TRI PLAZA SEMANGGI lt.1 JL.jend sudirman jkt pst sdh m-hubungi anda waktu pengundian di lakukan tapi no.anda tdk tersambung, jd kami krimkn lwt SMS sebelum jatuh tempo, bahwa no.anda menang undian dr TRI 2014 jenis hadiah 1unit mobil SUZUKI ERTIGA NEW,dengan PIN 2D45CS77, jadi silahkan cek terlebih dahulu di website; www.tricare.jimdo.com /hub; [ACCT] / [PHONE]",uncategorized
"Assalamu alaiqum, nenek masuk rumah sakit tolong kirimkan dulu ulsa 50 ribu di nomor ini [PHONE], mau telpon nanti di rumah sakit saya ganti uangnya.",uncategorized
ayah isikan pulsa xl 50rb di no [PHONE] sekarang penting,uncategorized
"Bapak tukokno pulsa AS ndisek 20ribu iki nmrku anyar [PHONE] cepet saiki tak enteni,penteng bpk ada msalah dikantor polisi,jangan dulu sms/tlp",uncategorized
